course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",easy,single_choice,Welche Aussage beschreibt das Thema Werkstattauftrag im Beruf Automobil-Mechatroniker/in EFZ am besten?,"er beschreibt Kundenbeanstandung, auszuführende Arbeiten und wichtige Fahrzeugdaten",er ersetzt die Abschlusskontrolle im laufenden Tagesgeschäft bei sachgemässem Ablauf,er enthält nur den Verkaufspreis im konkreten Auftrag im Produktionsalltag,er wird erst nach der Probefahrt erstellt im Werkstattumfeld,A,"Ein klarer Auftrag ist Grundlage für fachgerechte, nachvollziehbare Arbeiten.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",medium,single_choice,Worauf muss man beim Thema Werkstattauftrag in der Werkstatt besonders achten?,er ersetzt die Abschlusskontrolle nach gängiger Praxis im Rahmen der Routine,"er beschreibt Kundenbeanstandung, auszuführende Arbeiten und wichtige Fahrzeugdaten",er enthält nur den Verkaufspreis im üblichen Berufsalltag bei vergleichbaren Aufgaben,er wird erst nach der Probefahrt erstellt unter typischen Arbeitsbedingungen,B,"Ein klarer Auftrag ist Grundlage für fachgerechte, nachvollziehbare Arbeiten.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",hard,single_choice,Welche Aussage zum Thema Werkstattauftrag ist fachlich korrekt?,er ersetzt die Abschlusskontrolle im Produktionsalltag bei sachgemässer Ausführung,er enthält nur den Verkaufspreis im Werkstattumfeld im normalen Werkstattbetrieb,"er beschreibt Kundenbeanstandung, auszuführende Arbeiten und wichtige Fahrzeugdaten",er wird erst nach der Probefahrt erstellt bei sachgemässem Ablauf,C,"Ein klarer Auftrag ist Grundlage für fachgerechte, nachvollziehbare Arbeiten.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",easy,single_choice,Welche Aussage beschreibt das Thema Serviceplan im Beruf Automobil-Mechatroniker/in EFZ am besten?,er ist eine Reifenfreigabe im Rahmen der Routine,er ersetzt alle Messwerte unter typischen Arbeitsbedingungen,er gilt nur für Neuwagen ohne Kilometerstand,"er legt Wartungsumfang, Intervalle und Herstellervorgaben fest",D,"Servicepläne stellen sicher, dass die Wartung vollständig und herstellergerecht erfolgt.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",medium,single_choice,Worauf muss man beim Thema Serviceplan in der Werkstatt besonders achten?,"er legt Wartungsumfang, Intervalle und Herstellervorgaben fest",er ist eine Reifenfreigabe im normalen Werkstattbetrieb,er ersetzt alle Messwerte bei sachgemässem Ablauf,er gilt nur für Neuwagen ohne Kilometerstand bei sachgemässer Ausführung,A,"Servicepläne stellen sicher, dass die Wartung vollständig und herstellergerecht erfolgt.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",hard,single_choice,Welche Aussage zum Thema Serviceplan ist fachlich korrekt?,er ist eine Reifenfreigabe im konkreten Auftrag,"er legt Wartungsumfang, Intervalle und Herstellervorgaben fest",er ersetzt alle Messwerte bei vergleichbaren Aufgaben,er gilt nur für Neuwagen ohne Kilometerstand im laufenden Tagesgeschäft,B,"Servicepläne stellen sicher, dass die Wartung vollständig und herstellergerecht erfolgt.","Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",easy,single_choice,Welche Aussage beschreibt das Thema Fahrzeugausweis im Beruf Automobil-Mechatroniker/in EFZ am besten?,er ist ein Diagnoseprotokoll bei sachgemässer Ausführung,er ersetzt den Ersatzteilkatalog im üblichen Berufsalltag,"er liefert Angaben wie Typengenehmigung, Fahrzeugdaten und Fahrzeugklasse",er enthält immer alle Fehlercodes nach gängiger Praxis unter typischen Arbeitsbedingungen,C,Fahrzeugdaten helfen bei Teilebestimmung und rechtlicher Einordnung.,"Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",medium,single_choice,Worauf muss man beim Thema Fahrzeugausweis in der Werkstatt besonders achten?,er ist ein Diagnoseprotokoll im laufenden Tagesgeschäft,er ersetzt den Ersatzteilkatalog im Werkstattumfeld bei sachgemässem Ablauf,er enthält immer alle Fehlercodes im Produktionsalltag,"er liefert Angaben wie Typengenehmigung, Fahrzeugdaten und Fahrzeugklasse",D,Fahrzeugdaten helfen bei Teilebestimmung und rechtlicher Einordnung.,"Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",hard,single_choice,Welche Aussage zum Thema Fahrzeugausweis ist fachlich korrekt?,"er liefert Angaben wie Typengenehmigung, Fahrzeugdaten und Fahrzeugklasse",er ist ein Diagnoseprotokoll nach gängiger Praxis bei vergleichbaren Aufgaben,er ersetzt den Ersatzteilkatalog unter typischen Arbeitsbedingungen,er enthält immer alle Fehlercodes im Rahmen der Routine,A,Fahrzeugdaten helfen bei Teilebestimmung und rechtlicher Einordnung.,"Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
automechaniker,Automobil-Mechatroniker/in EFZ,auto_l01,HKB3,L01,"Werkstatt-Basics, Auftrag und Ersatzteile",easy,single_choice,Welche Aussage beschreibt das Thema Ersatzteilnummer im Beruf Automobil-Mechatroniker/in EFZ am besten?,sie wird nach Augenmass gewählt im Produktionsalltag bei sachgemässer Ausführung,sie wird über Fahrzeugdaten und Herstellerinformationen eindeutig bestimmt,sie ist immer auf jedem Altteil lesbar im normalen Werkstattbetrieb,sie ersetzt die Einbauanleitung bei sachgemässem Ablauf,B,Die richtige Teilenummer verhindert Fehlbestellungen und falsche Reparaturen.,"Bildungsplan Automobil-Mechatroniker/in EFZ, AGVS/SBFI",https://bzwu.ch/wp-content/uploads/2021/04/Bildungsplan_Automobil_Mechatroniker.pdf
