course_key,course_name,module_key,module_title,lesson_position,lesson_title,question_type,difficulty,position,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,1,Welche Aussage passt am besten zu «Lernbereiche»?,Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien","Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",A,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,2,Was ist bei «Kompetenzorientierung» fachlich am wichtigsten?,Begriffe abschreiben; Anwendung weglassen,Handeln begründen; Ergebnisse reflektieren,Antworten raten; Begründungen vermeiden,Regeln auswendig lernen; Transfer ignorieren,B,"Kompetenz zeigt sich darin, Wissen in Situationen begründet anzuwenden.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,3,Welche Vorgehensweise ist im Thema «Selbstständiges Lernen» richtig?,"Aufgaben verschieben; Rückblick auslassen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Nur Hilfe erwarten; Planung vermeiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Ziele setzen; Lernweg überprüfen, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Zufällig arbeiten; Kontrolle weglassen, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team",C,"Selbstständiges Lernen braucht Ziele, Planung und regelmässige Überprüfung.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,4,Welche Handlung zeigt ein gutes Verständnis von «Lernstrategien»?,Texte kopieren; Inhalte ungeprüft übernehmen,Alles markieren; Prioritäten vermeiden,Nur auswendig lernen; Zusammenhänge auslassen,Informationen ordnen; Kernaussagen festhalten,D,"Gute Lernstrategien helfen, Wichtiges zu erkennen und verständlich zu sichern.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,5,Welche Entscheidung ist bei «Transfer» sinnvoll?,Wissen anwenden; Situation erklären,Nur Definitionen nennen; Handlung weglassen,Theorie isolieren; Alltag ausklammern,Beispiele meiden; Praxisbezug trennen,A,"Transfer bedeutet, Gelerntes auf neue berufliche und private Situationen zu übertragen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,6,Welche Aussage passt am besten zu «Reflexion»?,Nur Resultat zählen; Lernweg ausblenden,Vorgehen beurteilen; Verbesserungen ableiten,Kritik abwehren; Anpassung vermeiden,Fehler verstecken; Rückmeldung ignorieren,B,"Reflexion macht sichtbar, was funktioniert und was verbessert werden kann.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,7,Was ist bei «Lernbereiche» fachlich am wichtigsten?,"Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien",C,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,8,Welche Vorgehensweise ist im Thema «Kompetenzorientierung» richtig?,Antworten raten; Begründungen vermeiden,Regeln auswendig lernen; Transfer ignorieren,Begriffe abschreiben; Anwendung weglassen,Handeln begründen; Ergebnisse reflektieren,D,"Kompetenz zeigt sich darin, Wissen in Situationen begründet anzuwenden.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,9,Welche Handlung zeigt ein gutes Verständnis von «Selbstständiges Lernen»?,"Ziele setzen; Lernweg überprüfen, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Zufällig arbeiten; Kontrolle weglassen, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Aufgaben verschieben; Rückblick auslassen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Nur Hilfe erwarten; Planung vermeiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien",A,"Selbstständiges Lernen braucht Ziele, Planung und regelmässige Überprüfung.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,10,Welche Entscheidung ist bei «Lernstrategien» sinnvoll?,Nur auswendig lernen; Zusammenhänge auslassen,Informationen ordnen; Kernaussagen festhalten,Texte kopieren; Inhalte ungeprüft übernehmen,Alles markieren; Prioritäten vermeiden,B,"Gute Lernstrategien helfen, Wichtiges zu erkennen und verständlich zu sichern.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,11,Welche Aussage passt am besten zu «Transfer»?,Theorie isolieren; Alltag ausklammern,Beispiele meiden; Praxisbezug trennen,Wissen anwenden; Situation erklären,Nur Definitionen nennen; Handlung weglassen,C,"Transfer bedeutet, Gelerntes auf neue berufliche und private Situationen zu übertragen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
