course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Kaufvertragsstörung im ABU am besten?,alle zahlen pünktlich bei vergleichbaren Situationen,der Vertrag wird vorbildlich erfüllt unter ueblichen Bedingungen,eine Vertragspartei erfüllt ihre Pflicht nicht korrekt,die Ware ist mängelfrei im Rahmen der Vorgaben,C,"Störungen können Lieferung, Zahlung oder Qualität betreffen.","ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Mängelrüge im ABU am besten?,man wartet ohne Meldung im typischen Verlauf,man bezahlt doppelt im beruflichen Alltag,man entsorgt Beweise sofort bei normaler Anwendung,ein Mangel wird dem Verkäufer rechtzeitig gemeldet,D,Eine rechtzeitige Mängelrüge sichert Ansprüche.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Kaufvertrag im ABU am besten?,nur der Verkäufer hat Pflichten im Schweizer ABU-Kontext,Verkäufer und Käufer haben gegenseitige Rechte und Pflichten,Eigentumsübertragung ist verboten im Alltag der Lernenden,ein Preis ist nie nötig nach allgemeinem Verstaendnis,B,Beim Kaufvertrag schuldet der Verkäufer die Sache und der Käufer den Preis.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Budget im ABU am besten?,Kaufwünsche ersetzen Einnahmen bei normaler Anwendung,nur Schulden werden aufgelistet bei vergleichbaren Situationen,nur fixe Ausgaben zählen im typischen Verlauf,Einnahmen und Ausgaben werden geplant und gegenübergestellt,D,"Ein Budget zeigt, ob das Geld für Ausgaben und Sparziele reicht.","ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Mangel im ABU am besten?,die Ware entspricht nicht dem vereinbarten oder erwartbaren Zustand,der Preis war zu tief nach gaengiger Praxis bei normaler Anwendung,der Käufer bereut den Kauf im beruflichen Alltag bei vergleichbaren Situationen,die Verpackung gefällt nicht im typischen Verlauf,A,Ein Mangel kann Rechte des Käufers auslösen.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt variable Kosten im ABU am besten?,sie sind identisch mit Einkommen unter ueblichen Bedingungen,sie dürfen im Budget fehlen im Rahmen der Vorgaben,sie sind immer gleich hoch bei vergleichbaren Situationen,Ausgaben verändern sich je nach Verhalten und Bedürfnis,D,Variable Kosten können durch Konsumentscheide beeinflusst werden.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Quittung im ABU am besten?,sie belegt eine Zahlung oder einen Kauf,sie ist ein Kreditvertrag unter ueblichen Bedingungen,sie ist ein Betreibungsbegehren,sie ersetzt immer die Garantie,A,Eine Quittung ist ein wichtiger Nachweis.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Sparen im ABU am besten?,Geld wird für Reserven oder zukünftige Ziele zurückgelegt,Geld wird sofort ausgegeben fuer die meisten Faelle,Kredit ersetzt Planung aus rechtlicher Sicht,offene Rechnungen werden ignoriert nach gaengiger Praxis,A,Sparen schafft Handlungsspielraum.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Gewährleistung im ABU am besten?,sie erlaubt beliebige Rückgabe ohne Grund,sie ist nur Werbung nach allgemeinem Verstaendnis,sie schützt bei Mängeln an gekauften Produkten,sie betrifft nur Mietverträge im Schweizer ABU-Kontext,C,Gewährleistung betrifft mangelhafte Ware.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
abu,Allgemeinbildender Unterricht ABU,abu_l01,ABU,L01,"Kauf und Konsum: Budget, Kaufvertrag und Gewährleistung",easy,single_choice,Welche Aussage beschreibt Fixkosten im ABU am besten?,regelmässige Ausgaben wie Miete oder Versicherungen werden eingeplant,spontane Freizeitkäufe sind immer Fixkosten im Schweizer ABU-Kontext,Fixkosten ändern täglich unter ueblichen Bedingungen,Fixkosten sind immer freiwillig nach allgemeinem Verstaendnis,A,Fixkosten fallen meist periodisch und planbar an.,"ABU Smartlearn Quiz 1. Teil, Moodle-XHTML-Export, hochgeladene Referenzdatei",user_upload:quiz-ABU_Smartlearn_1.Teil-top-20260519-0952.html
