course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",easy,single_choice,Welche Aussage beschreibt das Thema Rolle als Berufsperson im Beruf Fachfrau/Fachmann Gesundheit EFZ am besten?,im eigenen Kompetenzbereich verantwortungsvoll und teamorientiert handeln,ärztliche Entscheidungen allein treffen im konkreten Auftrag,Aufgaben ohne Rückmeldung liegen lassen im laufenden Tagesgeschäft,Standards nach persönlicher Vorliebe ersetzen im Werkstattumfeld,A,FaGe handeln professionell innerhalb ihres Kompetenzbereichs und in Zusammenarbeit mit dem Team.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",medium,single_choice,Worauf muss man beim Thema Rolle als Berufsperson in der Praxis besonders achten?,ärztliche Entscheidungen allein treffen im üblichen Berufsalltag,im eigenen Kompetenzbereich verantwortungsvoll und teamorientiert handeln,Aufgaben ohne Rückmeldung liegen lassen nach gängiger Praxis,Standards nach persönlicher Vorliebe ersetzen unter typischen Arbeitsbedingungen,B,FaGe handeln professionell innerhalb ihres Kompetenzbereichs und in Zusammenarbeit mit dem Team.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",hard,single_choice,Welche Aussage zum Thema Rolle als Berufsperson ist fachlich korrekt?,ärztliche Entscheidungen allein treffen im Werkstattumfeld,Aufgaben ohne Rückmeldung liegen lassen im Produktionsalltag,im eigenen Kompetenzbereich verantwortungsvoll und teamorientiert handeln,Standards nach persönlicher Vorliebe ersetzen bei sachgemässem Ablauf,C,FaGe handeln professionell innerhalb ihres Kompetenzbereichs und in Zusammenarbeit mit dem Team.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",easy,single_choice,Welche Aussage beschreibt das Thema Teamarbeit im Beruf Fachfrau/Fachmann Gesundheit EFZ am besten?,Informationen zurückhalten unter typischen Arbeitsbedingungen,Zuständigkeiten ignorieren im Rahmen der Routine,Konflikte vor Klientinnen austragen bei vergleichbaren Aufgaben,Informationen zuverlässig weitergeben und Absprachen einhalten,D,Pflege und Betreuung gelingen nur mit verlässlicher Zusammenarbeit.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",medium,single_choice,Worauf muss man beim Thema Teamarbeit in der Praxis besonders achten?,Informationen zuverlässig weitergeben und Absprachen einhalten,Informationen zurückhalten bei sachgemässem Ablauf,Zuständigkeiten ignorieren im normalen Werkstattbetrieb,Konflikte vor Klientinnen austragen bei sachgemässer Ausführung,A,Pflege und Betreuung gelingen nur mit verlässlicher Zusammenarbeit.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",hard,single_choice,Welche Aussage zum Thema Teamarbeit ist fachlich korrekt?,Informationen zurückhalten bei vergleichbaren Aufgaben,Informationen zuverlässig weitergeben und Absprachen einhalten,Zuständigkeiten ignorieren im konkreten Auftrag,Konflikte vor Klientinnen austragen im laufenden Tagesgeschäft,B,Pflege und Betreuung gelingen nur mit verlässlicher Zusammenarbeit.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",easy,single_choice,Welche Aussage beschreibt das Thema Planung der Arbeit im Beruf Fachfrau/Fachmann Gesundheit EFZ am besten?,alles gleichzeitig beginnen bei sachgemässer Ausführung,Notfälle in die Routine einordnen im üblichen Berufsalltag,"Aufgaben nach Dringlichkeit, Ressourcen und Klientenbedarf priorisieren",Pausen und Übergaben nie berücksichtigen nach gängiger Praxis,C,Planung unterstützt Sicherheit und Kontinuität.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",medium,single_choice,Worauf muss man beim Thema Planung der Arbeit in der Praxis besonders achten?,alles gleichzeitig beginnen im laufenden Tagesgeschäft,Notfälle in die Routine einordnen im Werkstattumfeld bei sachgemässem Ablauf,Pausen und Übergaben nie berücksichtigen im Produktionsalltag,"Aufgaben nach Dringlichkeit, Ressourcen und Klientenbedarf priorisieren",D,Planung unterstützt Sicherheit und Kontinuität.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",hard,single_choice,Welche Aussage zum Thema Planung der Arbeit ist fachlich korrekt?,"Aufgaben nach Dringlichkeit, Ressourcen und Klientenbedarf priorisieren",alles gleichzeitig beginnen nach gängiger Praxis bei vergleichbaren Aufgaben,Notfälle in die Routine einordnen unter typischen Arbeitsbedingungen,Pausen und Übergaben nie berücksichtigen im Rahmen der Routine,A,Planung unterstützt Sicherheit und Kontinuität.,"Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
fage,Fachfrau/Fachmann Gesundheit EFZ,fage_l01,HKB A/H,L01,"Berufsidentität, Teamarbeit und Qualität",easy,single_choice,Welche Aussage beschreibt das Thema Qualitätssicherung im Beruf Fachfrau/Fachmann Gesundheit EFZ am besten?,Fehler vertuschen im Produktionsalltag bei sachgemässer Ausführung,"Standards einhalten, Abweichungen melden und Verbesserungen mittragen",Richtlinien ignorieren bei sachgemässem Ablauf im üblichen Berufsalltag,Dokumentation nach Belieben kürzen im normalen Werkstattbetrieb,B,"Qualitätssicherung schützt Klientinnen, Team und Institution.","Bildungsplan Fachfrau/Fachmann Gesundheit EFZ, OdASanté/SBFI",https://www.odasante.ch/fileadmin/odasante.ch/docs/Grundbildung/FaGe/FaGe_BiPla.pdf
