course_slug,course_title,module_title,lesson_id,lesson_title,lesson_position,question_position,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,pass_score
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,1,Was ist die Hauptaussage eines Textes?,Ein Randdetail,Die zentrale Botschaft,Die erste Zahl im Text,Nur der Titel,B,Die Hauptaussage fasst die wichtigste Aussage des Textes zusammen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,2,Wozu dient eine Überschrift?,Sie ersetzt den ganzen Text,Sie weist auf das Thema hin,Sie ist nur Dekoration,Sie zeigt die Quellen an,B,"Eine Überschrift hilft, Thema und Richtung eines Textes zu erkennen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,3,Was hilft beim Verstehen eines Sachtextes besonders?,Nur das letzte Wort lesen,Zwischenüberschriften und Schlüsselbegriffe beachten,Alle Namen ignorieren,Absätze überspringen,B,Struktur und Schlüsselwörter helfen beim Textverständnis.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,4,Was ist ein Beispiel in einem Text?,Eine Beleidigung,Ein konkreter Fall zur Veranschaulichung,Ein Zufall,Eine Fussnote ohne Bezug,B,Beispiele machen Aussagen verständlicher.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,5,"Was bedeutet es, eine Information zu entnehmen?",Etwas im Text gezielt herauslesen,Etwas erfinden,Etwas malen,Etwas vergessen,A,"Information entnehmen heisst, etwas gezielt aus dem Text herauslesen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,6,Welches Signalwort weist oft auf eine Begründung hin?,weil,morgen,vielleicht,dort,A,Mit „weil“ wird häufig eine Begründung eingeleitet.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,7,Was ist bei einer Zusammenfassung wichtig?,Neue Ideen hinzufügen,Nur das Wesentliche knapp wiedergeben,Alles wörtlich abschreiben,Möglichst viele Fremdwörter nutzen,B,Eine Zusammenfassung konzentriert sich auf die Kerninhalte.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,8,Was gehört eher nicht in eine sachliche Zusammenfassung?,Wichtige Fakten,Kernaussagen,Die eigene Meinung,Zentrale Beispiele,C,In einer sachlichen Zusammenfassung steht nicht die persönliche Meinung im Vordergrund.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,9,Wie erkennt man eine Meinung?,Sie ist immer gesetzlich geregelt,Sie enthält oft Wertungen,Sie ist immer eine Statistik,Sie ist immer objektiv,B,Meinungen enthalten oft Bewertungen oder persönliche Sichtweisen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-1,Textverständnis und Kernaussagen,1,10,Was ist eine Quelle?,"Der Ort, aus dem eine Information stammt",Ein Schreibfehler,Nur ein Bild im Internet,Ein Titel ohne Inhalt,A,"Quellen zeigen, woher Informationen kommen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,1,Was ist ein Argument?,Eine begründete Aussage,Nur ein Gefühl,Ein leerer Satz,Eine Frage ohne Inhalt,A,Ein Argument stützt eine Aussage mit einem Grund.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,2,Was unterscheidet eine Behauptung von einem Argument?,Ein Argument ist begründet,Eine Behauptung ist immer länger,Eine Behauptung ist immer wahr,Es gibt keinen Unterschied,A,"Argumente enthalten Gründe, Behauptungen nicht zwingend.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,3,Welche Aussage ist ein Argument?,Das ist blöd.,Ich bin dagegen.,Einheitliche Regeln erleichtern die Zusammenarbeit im Betrieb.,Alle denken so.,C,Die Aussage nennt einen nachvollziehbaren Grund.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,4,Was stärkt eine Stellungnahme?,Beispiele und Begründungen,Beleidigungen,Widersprüche,Gerüchte,A,Beispiele und Gründe machen eine Stellungnahme überzeugender.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,5,Was ist ein Gegenargument?,Eine Begründung der anderen Seite,Ein Bild,Ein Titel,Ein Vertrag,A,Gegenargumente zeigen die andere Sichtweise.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,6,Wozu dient eine Schlussfolgerung?,Sie fasst die Position zusammen,Sie zerstört den Text,Sie ersetzt das Thema,Sie ignoriert die Begründung,A,In der Schlussfolgerung wird die Position verdichtet.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,7,Was passt zu einer sachlichen Diskussion?,Anderen ausreden lassen und begründen,Lautstärke statt Inhalt,Persönliche Angriffe,Spott,A,Sachliche Diskussionen beruhen auf Respekt und Begründungen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,8,Was ist ein Beispiel für eine These?,Jugendliche sollten im Betrieb mehr Mitsprache haben.,Weil es im Vertrag steht.,Zum Beispiel im ersten Lehrjahr.,Vielleicht irgendwann.,A,"Eine These ist eine Aussage, die begründet werden kann.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,9,Was ist bei einer Erörterung wichtig?,Mehrere Seiten beleuchten,Nur die eigene Meinung wiederholen,Alle Argumente weglassen,Nur Überschriften schreiben,A,Erörterungen prüfen verschiedene Perspektiven.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-2,Argumentieren und Stellung nehmen,2,10,Was macht ein Argument überzeugender?,Nachvollziehbare Beispiele,Grossbuchstaben,Drohungen,Viele Wiederholungen ohne Inhalt,A,Konkrete Beispiele erhöhen die Überzeugungskraft.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,1,Welche Anrede passt in einer formellen E-Mail?,Hey du,Sehr geehrte Frau Keller,Hoi zäme,Yo,B,Formelle E-Mails beginnen mit einer angemessenen höflichen Anrede.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,2,Was gehört in den Betreff einer E-Mail?,Ein klares Thema,Ein Emoji-Regen,Gar nichts,Die ganze Nachricht,A,Der Betreff benennt das Thema kurz und klar.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,3,Wie endet eine berufliche E-Mail passend?,LG lol,Freundliche Grüsse,Tschüssi,Bis dann vielleicht,B,„Freundliche Grüsse“ ist eine übliche formelle Schlussformel.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,4,Was ist bei einer Reklamation wichtig?,Mangel sachlich beschreiben,Unhöflich drohen,Schimpfwörter nutzen,Thema wechseln,A,Reklamationen sollten konkret und sachlich formuliert sein.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,5,Welche Formulierung ist am professionellsten?,Ich will sofort Antwort.,Könnten Sie mir bitte die Unterlagen senden?,Mach das jetzt.,Schick mal.,B,Höfliche und klare Formulierungen sind im Berufsalltag angemessen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,6,Was sollte in einer Entschuldigung stehen?,Grund und Verantwortung,Ausreden ohne Bezug,Nur ein Ausrufezeichen,Gar nichts Genaues,A,Eine gute Entschuldigung benennt den Grund und übernimmt Verantwortung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,7,Was ist ein Protokoll?,Eine geordnete Notiz zu einem Gespräch oder Anlass,Ein Vertrag über Ferien,Nur eine private Nachricht,Ein Werbeplakat,A,Protokolle halten das Wichtigste knapp und strukturiert fest.,70
