course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Stakeholderanalyse im Beruf Informatiker/in EFZ am besten?,"betroffene Personen, Rollen und Interessen systematisch erfassen",nur die technische Lösung betrachten im laufenden Tagesgeschäft,alle Wünsche ungeprüft umsetzen im konkreten Auftrag,Stakeholder erst nach Projektabschluss informieren,A,Stakeholderanalyse schafft die Grundlage für passende ICT-Lösungen.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Stakeholderanalyse in der Praxis besonders achten?,nur die technische Lösung betrachten nach gängiger Praxis,"betroffene Personen, Rollen und Interessen systematisch erfassen",alle Wünsche ungeprüft umsetzen im üblichen Berufsalltag,Stakeholder erst nach Projektabschluss informieren,B,Stakeholderanalyse schafft die Grundlage für passende ICT-Lösungen.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Stakeholderanalyse ist fachlich korrekt?,nur die technische Lösung betrachten im Produktionsalltag,alle Wünsche ungeprüft umsetzen im Werkstattumfeld,"betroffene Personen, Rollen und Interessen systematisch erfassen",Stakeholder erst nach Projektabschluss informieren,C,Stakeholderanalyse schafft die Grundlage für passende ICT-Lösungen.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Bedürfnisabklärung im Beruf Informatiker/in EFZ am besten?,Annahmen als Fakten behandeln im Rahmen der Routine,Rückfragen vermeiden unter typischen Arbeitsbedingungen,nur die lauteste Meinung berücksichtigen bei vergleichbaren Aufgaben,"Anforderungen durch Fragen, Beobachtung und Dokumentation klären",D,Bedürfnisse müssen nachvollziehbar erhoben und bestätigt werden.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Bedürfnisabklärung in der Praxis besonders achten?,"Anforderungen durch Fragen, Beobachtung und Dokumentation klären",Annahmen als Fakten behandeln im normalen Werkstattbetrieb,Rückfragen vermeiden bei sachgemässem Ablauf im üblichen Berufsalltag,nur die lauteste Meinung berücksichtigen bei sachgemässer Ausführung,A,Bedürfnisse müssen nachvollziehbar erhoben und bestätigt werden.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Bedürfnisabklärung ist fachlich korrekt?,Annahmen als Fakten behandeln im konkreten Auftrag,"Anforderungen durch Fragen, Beobachtung und Dokumentation klären",Rückfragen vermeiden bei vergleichbaren Aufgaben,nur die lauteste Meinung berücksichtigen im laufenden Tagesgeschäft,B,Bedürfnisse müssen nachvollziehbar erhoben und bestätigt werden.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Projektziel im Beruf Informatiker/in EFZ am besten?,Ziele laufend unausgesprochen ändern nach gängiger Praxis,nur Technologien als Ziel nennen im üblichen Berufsalltag,"ein klares, überprüfbares und gemeinsames Ziel formulieren",Ziele nicht dokumentieren bei sachgemässer Ausführung,C,"Klare Ziele erleichtern Planung, Umsetzung und Abnahme.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Projektziel in der Praxis besonders achten?,Ziele laufend unausgesprochen ändern im Produktionsalltag,nur Technologien als Ziel nennen im Werkstattumfeld,Ziele nicht dokumentieren im laufenden Tagesgeschäft,"ein klares, überprüfbares und gemeinsames Ziel formulieren",D,"Klare Ziele erleichtern Planung, Umsetzung und Abnahme.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Projektziel ist fachlich korrekt?,"ein klares, überprüfbares und gemeinsames Ziel formulieren",Ziele laufend unausgesprochen ändern im Rahmen der Routine,nur Technologien als Ziel nennen unter typischen Arbeitsbedingungen,Ziele nicht dokumentieren nach gängiger Praxis,A,"Klare Ziele erleichtern Planung, Umsetzung und Abnahme.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Anforderungskatalog im Beruf Informatiker/in EFZ am besten?,Wünsche und Muss-Anforderungen vermischen im normalen Werkstattbetrieb,funktionale und nichtfunktionale Anforderungen strukturiert festhalten,Qualitätsanforderungen weglassen bei sachgemässem Ablauf,Dokumente nicht versionieren im Produktionsalltag,B,Ein Anforderungskatalog hilft bei Priorisierung und Kontrolle.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Anforderungskatalog in der Praxis besonders achten?,Wünsche und Muss-Anforderungen vermischen im konkreten Auftrag,Qualitätsanforderungen weglassen bei vergleichbaren Aufgaben,funktionale und nichtfunktionale Anforderungen strukturiert festhalten,Dokumente nicht versionieren im Rahmen der Routine,C,Ein Anforderungskatalog hilft bei Priorisierung und Kontrolle.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Anforderungskatalog ist fachlich korrekt?,Wünsche und Muss-Anforderungen vermischen im üblichen Berufsalltag,Qualitätsanforderungen weglassen bei sachgemässer Ausführung,Dokumente nicht versionieren im normalen Werkstattbetrieb,funktionale und nichtfunktionale Anforderungen strukturiert festhalten,D,Ein Anforderungskatalog hilft bei Priorisierung und Kontrolle.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Vorgehensmodell im Beruf Informatiker/in EFZ am besten?,ein zum Auftrag passendes Projektvorgehen auswählen,immer dasselbe Vorgehen verwenden im Werkstattumfeld,Planung ganz weglassen im konkreten Auftrag,Tests erst nach Betrieb starten im laufenden Tagesgeschäft,A,"Das Vorgehen muss zu Risiko, Umfang und Umfeld passen.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Vorgehensmodell in der Praxis besonders achten?,immer dasselbe Vorgehen verwenden unter typischen Arbeitsbedingungen,ein zum Auftrag passendes Projektvorgehen auswählen,Planung ganz weglassen im üblichen Berufsalltag,Tests erst nach Betrieb starten nach gängiger Praxis,B,"Das Vorgehen muss zu Risiko, Umfang und Umfeld passen.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Vorgehensmodell ist fachlich korrekt?,immer dasselbe Vorgehen verwenden bei sachgemässem Ablauf,Planung ganz weglassen im Werkstattumfeld,ein zum Auftrag passendes Projektvorgehen auswählen,Tests erst nach Betrieb starten im Produktionsalltag,C,"Das Vorgehen muss zu Risiko, Umfang und Umfeld passen.","Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Projektauftrag im Beruf Informatiker/in EFZ am besten?,Budget und Termine ignorieren bei vergleichbaren Aufgaben,Zuständigkeiten offen lassen im Rahmen der Routine,nur mündlich starten unter typischen Arbeitsbedingungen,"Umfang, Ziele, Termine, Rollen und Rahmenbedingungen festhalten",D,Der Projektauftrag klärt Erwartungen und Verantwortlichkeiten.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Projektauftrag in der Praxis besonders achten?,"Umfang, Ziele, Termine, Rollen und Rahmenbedingungen festhalten",Budget und Termine ignorieren bei sachgemässer Ausführung,Zuständigkeiten offen lassen im normalen Werkstattbetrieb,nur mündlich starten bei sachgemässem Ablauf im üblichen Berufsalltag,A,Der Projektauftrag klärt Erwartungen und Verantwortlichkeiten.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Projektauftrag ist fachlich korrekt?,Budget und Termine ignorieren im laufenden Tagesgeschäft,"Umfang, Ziele, Termine, Rollen und Rahmenbedingungen festhalten",Zuständigkeiten offen lassen im konkreten Auftrag,nur mündlich starten bei vergleichbaren Aufgaben,B,Der Projektauftrag klärt Erwartungen und Verantwortlichkeiten.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Use Case im Beruf Informatiker/in EFZ am besten?,interne Servernamen beschreiben nach gängiger Praxis,nur Programmcode dokumentieren im üblichen Berufsalltag,Abläufe aus Sicht der Benutzerinnen und Benutzer beschreiben,Benutzerziele weglassen bei sachgemässer Ausführung,C,Use Cases verbinden Fachbedarf und technische Umsetzung.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Use Case in der Praxis besonders achten?,interne Servernamen beschreiben im Produktionsalltag,nur Programmcode dokumentieren im Werkstattumfeld,Benutzerziele weglassen im laufenden Tagesgeschäft,Abläufe aus Sicht der Benutzerinnen und Benutzer beschreiben,D,Use Cases verbinden Fachbedarf und technische Umsetzung.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Use Case ist fachlich korrekt?,Abläufe aus Sicht der Benutzerinnen und Benutzer beschreiben,interne Servernamen beschreiben im Rahmen der Routine,nur Programmcode dokumentieren unter typischen Arbeitsbedingungen,Benutzerziele weglassen nach gängiger Praxis,A,Use Cases verbinden Fachbedarf und technische Umsetzung.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Akzeptanzkriterium im Beruf Informatiker/in EFZ am besten?,Kriterien nachträglich erfinden im Produktionsalltag,prüfbare Bedingungen für eine erfolgreiche Lösung definieren,subjektive Aussagen genügen lassen im normalen Werkstattbetrieb,Abnahme ohne Prüfung durchführen bei sachgemässem Ablauf,B,Akzeptanzkriterien machen Qualität überprüfbar.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Akzeptanzkriterium in der Praxis besonders achten?,Kriterien nachträglich erfinden im Rahmen der Routine,subjektive Aussagen genügen lassen im konkreten Auftrag,prüfbare Bedingungen für eine erfolgreiche Lösung definieren,Abnahme ohne Prüfung durchführen bei vergleichbaren Aufgaben,C,Akzeptanzkriterien machen Qualität überprüfbar.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Akzeptanzkriterium ist fachlich korrekt?,Kriterien nachträglich erfinden im normalen Werkstattbetrieb,subjektive Aussagen genügen lassen im üblichen Berufsalltag,Abnahme ohne Prüfung durchführen bei sachgemässer Ausführung,prüfbare Bedingungen für eine erfolgreiche Lösung definieren,D,Akzeptanzkriterien machen Qualität überprüfbar.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Risiko im Projekt im Beruf Informatiker/in EFZ am besten?,"mögliche Probleme früh erkennen, bewerten und Massnahmen planen",Risiken verschweigen im konkreten Auftrag im Produktionsalltag,nur erfolgreiche Szenarien planen im Werkstattumfeld,Warnzeichen ignorieren im laufenden Tagesgeschäft,A,Risikomanagement erhöht die Projektsicherheit.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Risiko im Projekt in der Praxis besonders achten?,Risiken verschweigen im üblichen Berufsalltag,"mögliche Probleme früh erkennen, bewerten und Massnahmen planen",nur erfolgreiche Szenarien planen unter typischen Arbeitsbedingungen,Warnzeichen ignorieren nach gängiger Praxis im Rahmen der Routine,B,Risikomanagement erhöht die Projektsicherheit.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Risiko im Projekt ist fachlich korrekt?,Risiken verschweigen im Werkstattumfeld im normalen Werkstattbetrieb,nur erfolgreiche Szenarien planen bei sachgemässem Ablauf,"mögliche Probleme früh erkennen, bewerten und Massnahmen planen",Warnzeichen ignorieren im Produktionsalltag bei sachgemässer Ausführung,C,Risikomanagement erhöht die Projektsicherheit.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",easy,single_choice,Welche Aussage beschreibt das Thema Projektkommunikation im Beruf Informatiker/in EFZ am besten?,Fachbegriffe ungeklärt verwenden bei vergleichbaren Aufgaben,Statusberichte auslassen unter typischen Arbeitsbedingungen,Änderungen nicht kommunizieren im Rahmen der Routine im konkreten Auftrag,"Informationen zielgruppengerecht, rechtzeitig und nachvollziehbar weitergeben",D,Gute Kommunikation verhindert Missverständnisse.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",medium,single_choice,Worauf muss man beim Thema Projektkommunikation in der Praxis besonders achten?,"Informationen zielgruppengerecht, rechtzeitig und nachvollziehbar weitergeben",Fachbegriffe ungeklärt verwenden bei sachgemässer Ausführung,Statusberichte auslassen bei sachgemässem Ablauf im üblichen Berufsalltag,Änderungen nicht kommunizieren im normalen Werkstattbetrieb,A,Gute Kommunikation verhindert Missverständnisse.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l01,HKB a,L01,"ICT-Projekte: Stakeholder, Bedürfnisse und Ziele",hard,single_choice,Welche Aussage zum Thema Projektkommunikation ist fachlich korrekt?,Fachbegriffe ungeklärt verwenden im laufenden Tagesgeschäft,"Informationen zielgruppengerecht, rechtzeitig und nachvollziehbar weitergeben",Statusberichte auslassen bei vergleichbaren Aufgaben im Produktionsalltag,Änderungen nicht kommunizieren im konkreten Auftrag im Werkstattumfeld,B,Gute Kommunikation verhindert Missverständnisse.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l02,HKB a,L02,"ICT-Projekte: Planung, Visualisierung und Reporting",easy,single_choice,Welche Aussage beschreibt das Thema Projektplanung im Beruf Informatiker/in EFZ am besten?,alle Aufgaben gleich priorisieren nach gängiger Praxis,Abhängigkeiten ignorieren im üblichen Berufsalltag unter typischen Arbeitsbedingungen,"Aufgaben, Abhängigkeiten, Ressourcen und Termine realistisch planen",keine Reserve einplanen bei sachgemässer Ausführung,C,Planung macht Aufwand und Reihenfolge sichtbar.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
informatiker,Informatiker/in EFZ,it_l02,HKB a,L02,"ICT-Projekte: Planung, Visualisierung und Reporting",medium,single_choice,Worauf muss man beim Thema Projektplanung in der Praxis besonders achten?,alle Aufgaben gleich priorisieren im Produktionsalltag,Abhängigkeiten ignorieren im Werkstattumfeld bei sachgemässem Ablauf,keine Reserve einplanen im laufenden Tagesgeschäft,"Aufgaben, Abhängigkeiten, Ressourcen und Termine realistisch planen",D,Planung macht Aufwand und Reihenfolge sichtbar.,"Bildungsplan Informatiker/in EFZ BiVo 2021, ICT-Berufsbildung Schweiz/SBFI",https://www.ict-berufsbildung.ch/services/download-center
