course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",easy,single_choice,Welche Aussage beschreibt das Thema eigene Rolle im Betrieb im Beruf Kauffrau/Kaufmann EFZ am besten?,"Aufgaben, Verantwortung und Erwartungen aktiv klären",nur private Interessen verfolgen im laufenden Tagesgeschäft,betriebliche Regeln ignorieren im konkreten Auftrag,Aufgaben ohne Rückfrage liegen lassen,A,Kaufleute entwickeln ihre professionelle Rolle bewusst und betriebsgerecht.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",medium,single_choice,Worauf muss man beim Thema eigene Rolle im Betrieb in der Praxis besonders achten?,nur private Interessen verfolgen nach gängiger Praxis,"Aufgaben, Verantwortung und Erwartungen aktiv klären",betriebliche Regeln ignorieren im üblichen Berufsalltag,Aufgaben ohne Rückfrage liegen lassen,B,Kaufleute entwickeln ihre professionelle Rolle bewusst und betriebsgerecht.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",hard,single_choice,Welche Aussage zum Thema eigene Rolle im Betrieb ist fachlich korrekt?,nur private Interessen verfolgen im Produktionsalltag,betriebliche Regeln ignorieren im Werkstattumfeld,"Aufgaben, Verantwortung und Erwartungen aktiv klären",Aufgaben ohne Rückfrage liegen lassen,C,Kaufleute entwickeln ihre professionelle Rolle bewusst und betriebsgerecht.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",easy,single_choice,Welche Aussage beschreibt das Thema Leitbild im Beruf Kauffrau/Kaufmann EFZ am besten?,nur als Dekoration behandeln unter typischen Arbeitsbedingungen,für Kundenkontakte ignorieren im Rahmen der Routine,durch persönliche Vorlieben ersetzen bei vergleichbaren Aufgaben,Werte und Grundsätze des Betriebs im Alltag berücksichtigen,D,"Das Leitbild prägt Auftreten, Kommunikation und Entscheidungen.","Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",medium,single_choice,Worauf muss man beim Thema Leitbild in der Praxis besonders achten?,Werte und Grundsätze des Betriebs im Alltag berücksichtigen,nur als Dekoration behandeln bei sachgemässem Ablauf,für Kundenkontakte ignorieren im normalen Werkstattbetrieb,durch persönliche Vorlieben ersetzen bei sachgemässer Ausführung,A,"Das Leitbild prägt Auftreten, Kommunikation und Entscheidungen.","Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",hard,single_choice,Welche Aussage zum Thema Leitbild ist fachlich korrekt?,nur als Dekoration behandeln bei vergleichbaren Aufgaben,Werte und Grundsätze des Betriebs im Alltag berücksichtigen,für Kundenkontakte ignorieren im konkreten Auftrag,durch persönliche Vorlieben ersetzen im laufenden Tagesgeschäft,B,"Das Leitbild prägt Auftreten, Kommunikation und Entscheidungen.","Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",easy,single_choice,Welche Aussage beschreibt das Thema Praxisauftrag im Beruf Kauffrau/Kaufmann EFZ am besten?,nur Theorie abschreiben bei sachgemässer Ausführung,ohne Bezug zum Arbeitsalltag arbeiten nach gängiger Praxis,betriebliche Aufgaben selbstständig ausführen und reflektieren,Resultate nie auswerten im üblichen Berufsalltag,C,Praxisaufträge verbinden Lernen mit realen kaufmännischen Tätigkeiten.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",medium,single_choice,Worauf muss man beim Thema Praxisauftrag in der Praxis besonders achten?,nur Theorie abschreiben im laufenden Tagesgeschäft,ohne Bezug zum Arbeitsalltag arbeiten im Produktionsalltag,Resultate nie auswerten im Werkstattumfeld bei sachgemässem Ablauf,betriebliche Aufgaben selbstständig ausführen und reflektieren,D,Praxisaufträge verbinden Lernen mit realen kaufmännischen Tätigkeiten.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",hard,single_choice,Welche Aussage zum Thema Praxisauftrag ist fachlich korrekt?,betriebliche Aufgaben selbstständig ausführen und reflektieren,nur Theorie abschreiben nach gängiger Praxis,ohne Bezug zum Arbeitsalltag arbeiten im Rahmen der Routine,Resultate nie auswerten unter typischen Arbeitsbedingungen,A,Praxisaufträge verbinden Lernen mit realen kaufmännischen Tätigkeiten.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
kv,Kauffrau/Kaufmann EFZ,kv_l01,HKB A,L01,"Rolle, Betrieb und professionelle Entwicklung",easy,single_choice,Welche Aussage beschreibt das Thema Kompetenzentwicklung im Beruf Kauffrau/Kaufmann EFZ am besten?,Feedback vermeiden im Produktionsalltag,Stärken und Entwicklungsfelder regelmässig überprüfen,Lernziele nie anpassen bei sachgemässem Ablauf,Fehler anderen zuschieben im normalen Werkstattbetrieb,B,Reflexion unterstützt lebenslanges Lernen.,"Bildungsplan Kauffrau/Kaufmann EFZ, BiVo 2023, SKKAB/SBFI",https://www.bzww.ch/public/upload/assets/120804/Bildungsplan_EFZ_August2021_final.pdf
