course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Arbeitssicherheit und Gesundheitsschutz,easy,single_choice,Welche persönliche Schutzausrüstung gehört auf einer normalen Strassenbaustelle zur Grundausrüstung?,"Helm, Sicherheitsschuhe und Warnkleidung","Turnschuhe, Sonnenbrille und leichte Jacke",Nur Handschuhe,Nur Gehörschutz,A,"Helm, Sicherheitsschuhe und Warnkleidung gehören zur grundlegenden PSA und müssen gemäss Vorschriften konsequent getragen werden.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Arbeitssicherheit und Gesundheitsschutz,easy,single_choice,Was ist der wichtigste Zweck der persönlichen Schutzausrüstung?,Sie ersetzt die Baustellensignalisation,Sie schützt die arbeitende Person vor Verletzungen und Gesundheitsrisiken,Sie beschleunigt den Arbeitsablauf automatisch,Sie ist nur bei Regen vorgeschrieben,B,"PSA reduziert Verletzungs- und Gesundheitsrisiken, ersetzt aber keine weiteren Sicherheitsmassnahmen.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Gefahren erkennen,medium,single_choice,Welche Gefahr ist beim Arbeiten neben dem öffentlichen Verkehr besonders zu beachten?,Zu wenig Beton im Mischer,Blendung durch Bürobeleuchtung,Anprall durch Fahrzeuge oder Maschinen,Zu tiefe Raumtemperatur,C,Verkehr und Maschinenbewegungen gehören zu den zentralen Gefahren auf Strassenbaustellen.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Notfallkonzept,medium,single_choice,Was muss ein Lernender im Notfall zuerst sicherstellen?,Dass die Arbeit fertiggestellt wird,Dass die Unfallstelle gesichert ist und Hilfe alarmiert wird,Dass alle Werkzeuge gereinigt sind,Dass der Rapport vollständig ist,B,"Im Notfall haben Sicherung der Unfallstelle, Eigenschutz und Alarmierung Vorrang.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Sicherheitsverhalten,medium,single_choice,Warum ist Alkohol- oder Drogenkonsum vor der Arbeit besonders gefährlich?,Weil dadurch nur die Arbeitsgeschwindigkeit steigt,"Weil Konzentration, Reaktion und Urteilsfähigkeit beeinträchtigt werden",Weil Maschinen dadurch weniger Treibstoff brauchen,Weil dies nur bei Büroarbeiten relevant ist,B,Substanzen können Reaktionsfähigkeit und Urteilsvermögen stark beeinträchtigen und erhöhen das Unfallrisiko.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.1,Gefahren erkennen,hard,single_choice,Du bemerkst eine ungesicherte Grube neben einem Gehweg. Was ist die fachlich richtige Reaktion?,"Weiterarbeiten, wenn niemand hineinfällt",Grube sichern oder melden und Zugang für Dritte verhindern,Nur ein Werkzeug danebenlegen,Die Grube mit Wasser füllen,B,"Gefahrenstellen müssen sofort gesichert oder gemeldet werden, besonders wenn Dritte gefährdet sind.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.2,Baustellenvorbereitung,easy,single_choice,Welche Unterlagen helfen bei der Vorbereitung einer Tagesbaustelle besonders?,"Baupläne, Auftrag, Materialliste und Sicherheitsvorgaben",Ferienplan und private Notizen,Nur ein Foto der Baustelle,Nur der Wetterbericht,A,"Für die Vorbereitung braucht es Auftrag, Pläne, Material, Maschinen und Sicherheitsvorgaben.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.2,Arbeitsablauf,medium,single_choice,Warum wird ein Arbeitsablauf vor Beginn sinnvoll geordnet?,"Damit unnötige Wege, Wartezeiten und Fehler vermieden werden",Damit die Baustelle länger dauert,Damit weniger Sicherheitsregeln gelten,Damit keine Maschinen gebraucht werden,A,"Eine sinnvolle Reihenfolge erhöht Effizienz, Qualität und Sicherheit.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.2,Materialbereitstellung,easy,single_choice,"Was bedeutet es, Material und Geräte gemäss Auftrag bereitzustellen?",Alles verfügbare Material auf die Baustelle bringen,Nur das benötigte Material und passende Geräte rechtzeitig organisieren,Material erst nach Arbeitsende bestellen,Geräte ungeprüft verwenden,B,Passendes Material und geeignete Geräte müssen rechtzeitig und auftragsbezogen bereitstehen.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.2,Baustellenvorbereitung,hard,single_choice,Welche Folge kann eine schlecht vorbereitete Baustelle haben?,Weniger Unfallrisiko,Höhere Qualität ohne Kontrolle,"Verzögerungen, Mehrkosten und Sicherheitsprobleme",Automatisch weniger Materialverbrauch,C,"Mangelhafte Vorbereitung führt häufig zu Verzögerungen, Fehlern, Mehrkosten und erhöhtem Risiko.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.3,Umweltschutz,easy,single_choice,Was ist beim Entsorgen von Baustellenmaterialien richtig?,Alles in dieselbe Mulde werfen,Materialien trennen und fachgerecht entsorgen,Nur sichtbaren Abfall trennen,Gefährliche Stoffe im Boden versickern lassen,B,Materialien müssen getrennt und gemäss Entsorgungsvorgaben verwertet oder entsorgt werden.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.3,Mehrmuldenkonzept,medium,single_choice,Wozu dient das Mehrmuldenkonzept?,Zur getrennten Sammlung verschiedener Abfall- und Wertstoffarten,Zur Lagerung von Trinkwasser,Zum Transport von Personen,Zur Verdichtung von Asphalt,A,Das Mehrmuldenkonzept unterstützt die fachgerechte Trennung und Wiederverwertung.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.3,Grundwasserschutz,medium,single_choice,Warum dürfen Treibstoffe nicht ungesichert auf der Baustelle gelagert werden?,Weil sie die Farbe verlieren,Weil sie Boden und Grundwasser verschmutzen können,Weil sie Beton schneller härten lassen,Weil sie nur im Winter gefährlich sind,B,Treibstoffe und gefährliche Stoffe können bei Austritt Boden und Grundwasser schädigen.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.3,Emissionen,medium,single_choice,Welche Massnahme reduziert Staub auf einer Baustelle?,Material trocken aufwirbeln,Flächen bei Bedarf befeuchten und staubarme Arbeitsweise wählen,Abfälle verbrennen,Maschinen im Leerlauf laufen lassen,B,Befeuchten und angepasste Arbeitsmethoden können Staubemissionen reduzieren.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.3,Umweltunfall,hard,single_choice,Ein Kanister mit Diesel läuft aus. Was ist zuerst zu tun?,Weiterarbeiten und später reinigen,"Ausbreitung stoppen, Bindemittel einsetzen und Vorgesetzte informieren",Diesel mit Wasser wegspülen,Den Kanister in die Baugrube werfen,B,"Bei umweltgefährdenden Stoffen sind Sofortmassnahmen nötig: Ausbreitung stoppen, aufnehmen und melden.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.4,Rapportieren,easy,single_choice,Welche Angabe gehört in einen Tagesrapport?,Lieblingswerkzeug,"Mengen, Personal, Maschinen und ausgeführte Arbeiten",Privatadresse aller Mitarbeitenden,Wetter von letzter Woche,B,"Rapporte müssen nachvollziehbare Angaben zu Leistung, Personal, Maschinen und Mengen enthalten.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.4,Ausmass,medium,single_choice,Wozu dient ein Ausmass?,Zur Ermittlung und Dokumentation ausgeführter Mengen,Zur Auswahl der Pausenzeit,Zum Dekorieren der Baustelle,Zum Ersetzen der Sicherheitsvorschriften,A,"Ein Ausmass dokumentiert Mengen und ist wichtig für Kontrolle, Abrechnung und Nachvollziehbarkeit.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.4,Skizzen,medium,single_choice,Was macht eine Baustellenskizze nachvollziehbar?,Schöne Farben ohne Masse,"Masse, Lagebezug, Beschriftung und klare Darstellung",Nur ein Pfeil,Eine mündliche Erklärung ohne Zeichnung,B,"Eine gute Skizze enthält relevante Masse, Lagebezüge und verständliche Beschriftungen.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.4,Dokumentation,hard,single_choice,Warum muss eine Dokumentation auch für Dritte verständlich sein?,"Damit andere Personen Arbeiten kontrollieren, weiterführen oder abrechnen können",Damit sie möglichst geheim bleibt,Damit keine Pläne mehr nötig sind,Damit Fehler nicht auffallen,A,"Dokumentationen müssen Arbeiten für Kontrolle, Übergabe und Abrechnung nachvollziehbar machen.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.5,Kleinmaschinen,easy,single_choice,Was ist vor der Inbetriebnahme einer Kleinmaschine zu prüfen?,Nur die Farbe der Maschine,"Betriebsbereitschaft, sichtbare Schäden und Sicherheitsvorrichtungen",Ob sie neu aussieht,Ob sie möglichst laut läuft,B,"Vor dem Einsatz sind Zustand, Sicherheitsvorrichtungen und Betriebsbereitschaft zu kontrollieren.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,HK1,1.5,Wartung,medium,single_choice,Was gehört zum Parkdienst einer Maschine?,"Reinigung, Kontrolle, Schmierung und korrektes Abstellen gemäss Vorgaben",Maschine ungereinigt stehen lassen,Treibstoff in den Boden leeren,Nur den Schlüssel abziehen,A,"Parkdienst umfasst Reinigung, Kontrolle, Pflege und sicheres Abstellen.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
