course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,easy,single_choice,Welche Aussage beschreibt das Thema erster Kundenkontakt im Beruf Detailhandelsfachfrau/Detailhandelsfachmann EFZ am besten?,"Kundinnen und Kunden freundlich, aufmerksam und situationsgerecht begrüssen",Kunden ignorieren im konkreten Auftrag im normalen Praxisalltag,nur bei Kaufabsicht grüssen im üblichen Arbeitsumfeld,Blickkontakt vermeiden im laufenden Tagesgeschäft bei sachgemässem Ablauf,A,Der erste Kontakt prägt die Beziehung und das Einkaufserlebnis.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,medium,single_choice,Worauf muss man beim Thema erster Kundenkontakt in der Praxis besonders achten?,Kunden ignorieren im üblichen Berufsalltag im Rahmen der Routine,"Kundinnen und Kunden freundlich, aufmerksam und situationsgerecht begrüssen",nur bei Kaufabsicht grüssen unter typischen Arbeitsbedingungen,Blickkontakt vermeiden nach gängiger Praxis bei vergleichbaren Aufgaben,B,Der erste Kontakt prägt die Beziehung und das Einkaufserlebnis.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,hard,single_choice,Welche Aussage zum Thema erster Kundenkontakt ist fachlich korrekt?,Kunden ignorieren im üblichen Arbeitsumfeld im normalen Betriebsablauf,nur bei Kaufabsicht grüssen bei sachgemässem Ablauf im üblichen Berufsalltag,"Kundinnen und Kunden freundlich, aufmerksam und situationsgerecht begrüssen",Blickkontakt vermeiden im normalen Praxisalltag bei sachgemässer Ausführung,C,Der erste Kontakt prägt die Beziehung und das Einkaufserlebnis.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,easy,single_choice,Welche Aussage beschreibt das Thema Botschafterfunktion im Beruf Detailhandelsfachfrau/Detailhandelsfachmann EFZ am besten?,private Meinung als Firmenregel ausgeben,Betrieb abwerten unter typischen Arbeitsbedingungen,Kundeninformationen beliebig teilen,das Unternehmen positiv und glaubwürdig vertreten,D,Detailhandelsfachleute wirken als Gesicht des Betriebs.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,medium,single_choice,Worauf muss man beim Thema Botschafterfunktion in der Praxis besonders achten?,das Unternehmen positiv und glaubwürdig vertreten,private Meinung als Firmenregel ausgeben,Betrieb abwerten bei sachgemässem Ablauf,Kundeninformationen beliebig teilen im normalen Betriebsablauf,A,Detailhandelsfachleute wirken als Gesicht des Betriebs.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,hard,single_choice,Welche Aussage zum Thema Botschafterfunktion ist fachlich korrekt?,private Meinung als Firmenregel ausgeben,das Unternehmen positiv und glaubwürdig vertreten,Betrieb abwerten bei vergleichbaren Aufgaben,Kundeninformationen beliebig teilen,B,Detailhandelsfachleute wirken als Gesicht des Betriebs.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,easy,single_choice,Welche Aussage beschreibt das Thema Kommunikationskanal im Beruf Detailhandelsfachfrau/Detailhandelsfachmann EFZ am besten?,jeden Kanal gleich behandeln bei sachgemässer Ausführung,Chats ohne Höflichkeit führen nach gängiger Praxis,"Sprache und Form an Laden, Telefon, E-Mail oder Chat anpassen",E-Mails ohne Struktur senden im üblichen Berufsalltag,C,Kundenkontakte laufen über verschiedene Kanäle.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,medium,single_choice,Worauf muss man beim Thema Kommunikationskanal in der Praxis besonders achten?,jeden Kanal gleich behandeln im laufenden Tagesgeschäft,Chats ohne Höflichkeit führen im normalen Praxisalltag,E-Mails ohne Struktur senden im üblichen Arbeitsumfeld,"Sprache und Form an Laden, Telefon, E-Mail oder Chat anpassen",D,Kundenkontakte laufen über verschiedene Kanäle.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,hard,single_choice,Welche Aussage zum Thema Kommunikationskanal ist fachlich korrekt?,"Sprache und Form an Laden, Telefon, E-Mail oder Chat anpassen",jeden Kanal gleich behandeln nach gängiger Praxis,Chats ohne Höflichkeit führen im Rahmen der Routine,E-Mails ohne Struktur senden unter typischen Arbeitsbedingungen,A,Kundenkontakte laufen über verschiedene Kanäle.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
detailhandel,Detailhandelsfachfrau/Detailhandelsfachmann EFZ,dh_l01,HKB a,L01,Erster Kundenkontakt und Kommunikation,easy,single_choice,Welche Aussage beschreibt das Thema nonverbale Kommunikation im Beruf Detailhandelsfachfrau/Detailhandelsfachmann EFZ am besten?,verschlossene Haltung zeigen bei sachgemässem Ablauf,"Mimik, Gestik und Körperhaltung bewusst einsetzen",Signale des Kunden ignorieren im normalen Betriebsablauf,wegschauen im normalen Praxisalltag,B,Nonverbales beeinflusst Vertrauen und Gesprächsverlauf.,"Bildungsplan Detailhandelsfachfrau/Detailhandelsfachmann EFZ, BDS/SBFI",https://www.bds-fcs.ch/de/Digitale-Medien/Download-Center?download=17
