course_key,course_name,module_key,module_title,lesson_position,lesson_title,question_type,difficulty,position,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,easy,1,Welche Aussage passt am besten zu «PSA»?,PSA vollständig tragen; Zustand prüfen,Helm später holen; Risiko akzeptieren,Warnkleidung weglassen; Sichtbarkeit senken,Schuhe frei wählen; Schutzwirkung mindern,A,"PSA schützt nur, wenn sie vollständig, passend und intakt getragen wird.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,2,Was ist bei «Gefahrenzone» fachlich am wichtigsten?,"Absperrung verschieben; Dritte gefährden, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Bereich sichern; Zugang regeln, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Maschinen kreuzen; Blickkontakt meiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Lasten unterschreiten; Abstand verlieren, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall",B,Gefahrenzonen müssen erkennbar sein und dürfen nicht unkontrolliert betreten werden.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,3,Welche Vorgehensweise ist im Thema «Notfall» richtig?,Weiterarbeiten; Meldung verzögern,Person bewegen; Gefahr ignorieren,Unfallstelle sichern; Hilfe alarmieren,Werkzeug räumen; Alarm vergessen,C,"Im Notfall gelten Eigenschutz, Sicherung und schnelle Alarmierung.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,hard,4,Welche Handlung zeigt ein gutes Verständnis von «Verkehr»?,Fahrspur betreten; Absprache meiden,Rückwärtsgang ignorieren; Warnung überhören,Tempo unterschätzen; Abstand kürzen,Signalisation beachten; Sichtkontakt halten,D,"Arbeiten am Verkehr verlangen klare Signale, Sichtbarkeit und Abstand.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,5,Welche Entscheidung ist bei «Gesundheitsschutz» sinnvoll?,"Belastung reduzieren; Pausen einhalten, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Staub einatmen; Maske meiden, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Hitze verdrängen; Trinken vergessen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Lärm ignorieren; Schutz ablegen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team",A,"Gesundheitsschutz umfasst Lärm, Staub, Wetter, Ergonomie und Erholung.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,easy,6,Welche Aussage passt am besten zu «Sicherheitsmeldung»?,"Zuständigkeit schieben; Beobachtung ignorieren, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Gefahr melden; Massnahme einleiten, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Allein entscheiden; Team nicht informieren, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Fehler verstecken; Risiko dulden, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall",B,Gefahren müssen früh gemeldet und mit passenden Massnahmen reduziert werden.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,7,Was ist bei «PSA» fachlich am wichtigsten?,Warnkleidung weglassen; Sichtbarkeit senken,Schuhe frei wählen; Schutzwirkung mindern,PSA vollständig tragen; Zustand prüfen,Helm später holen; Risiko akzeptieren,C,"PSA schützt nur, wenn sie vollständig, passend und intakt getragen wird.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,8,Welche Vorgehensweise ist im Thema «Gefahrenzone» richtig?,"Maschinen kreuzen; Blickkontakt meiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Lasten unterschreiten; Abstand verlieren, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Absperrung verschieben; Dritte gefährden, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Bereich sichern; Zugang regeln, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen",D,Gefahrenzonen müssen erkennbar sein und dürfen nicht unkontrolliert betreten werden.,"Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,hard,9,Welche Handlung zeigt ein gutes Verständnis von «Notfall»?,Unfallstelle sichern; Hilfe alarmieren,Werkzeug räumen; Alarm vergessen,Weiterarbeiten; Meldung verzögern,Person bewegen; Gefahr ignorieren,A,"Im Notfall gelten Eigenschutz, Sicherung und schnelle Alarmierung.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,medium,10,Welche Entscheidung ist bei «Verkehr» sinnvoll?,Tempo unterschätzen; Abstand kürzen,Signalisation beachten; Sichtkontakt halten,Fahrspur betreten; Absprache meiden,Rückwärtsgang ignorieren; Warnung überhören,B,"Arbeiten am Verkehr verlangen klare Signale, Sichtbarkeit und Abstand.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
strassenbau,Strassenbauer/in EFZ,stb_hk1,Strassenbauarbeiten vorbereiten und ausführen,10,Arbeitssicherheit und Notfall,single_choice,easy,11,Welche Aussage passt am besten zu «Gesundheitsschutz»?,"Hitze verdrängen; Trinken vergessen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Lärm ignorieren; Schutz ablegen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Belastung reduzieren; Pausen einhalten, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Staub einatmen; Maske meiden, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien",C,"Gesundheitsschutz umfasst Lärm, Staub, Wetter, Ergonomie und Erholung.","Bildungsplan Verkehrswegbau EFZ, Infra Suisse/SBFI",https://infra-suisse.ch/wp-content/uploads/2016/09/bildungsplan-2014_verkehrswegbau_efz_infra.pdf
